,Age,Salary,Children,AmountSpent,Gender_Female,Gender_Male,OwnHome_Own,OwnHome_Rent,Married_Married,Married_Single,Location_Close,Location_Far,History_High,History_Low,History_Medium,Catalogs_6,Catalogs_12,Catalogs_18,Catalogs_24
0,Old,47500,0,755,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0
1,Middle,63600,0,1318,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
2,Young,13500,0,296,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
3,Middle,85600,1,2436,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
4,Middle,68400,0,1304,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0
5,Young,30400,0,495,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0
6,Middle,48100,0,782,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0
7,Middle,68400,0,1155,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
8,Middle,51900,3,158,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
9,Old,80700,0,3034,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0
10,Young,43700,1,927,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
11,Middle,111800,3,2065,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0
12,Middle,44100,1,704,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
13,Middle,111400,0,2136,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0
14,Old,110000,0,5564,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
15,Middle,83100,1,2766,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
16,Old,82800,0,3010,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
17,Middle,90100,0,1956,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
18,Middle,38600,1,542,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0
19,Old,14000,0,410,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0
